Participant,Study,Image_CZ,Image_SD,Image_StH,Image_TH,Image_SaH,Image_GR,Voice_CZ,Voice_SD,Voice_StH,Voice_TH,Voice_SaH,Voice_GR,Origin_CZ,Origin_SD,Origin_StH,Origin_TH,Origin_SaH,Origin_GR,Subjective_CZ,Subjective_SD,Subjective_StH,Subjective_TH,Subjective_SaH,Subjective_GR,Story_image,Story_voice,Story_origin,Story_subjective,Story_totalobjective
47,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,5,2,5,3,4,3,1.67,2.17,2.17,3.67,2.00
48,2,2,1,1,2,2,1,1,2,1,2,1,1,2,1,3,2,3,1,2,2,3,3,2,1,1.50,1.33,2.00,2.17,1.61
49,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,3,3,3,1,1.17,1.50,1.33,2.00,1.33
50,2,1,2,1,1,#NULL!,1,1,2,2,1,#NULL!,2,3,3,3,2,#NULL!,3,2,3,4,3,#NULL!,3,1.20,1.60,2.80,3.00,1.87
51,2,1,1,1,1,#NULL!,1,2,2,3,3,#NULL!,3,1,1,2,2,#NULL!,1,3,3,3,4,#NULL!,2,1.00,2.60,1.40,3.00,1.67
52,2,2,3,3,2,3,3,2,3,3,3,3,2,1,2,1,2,2,1,3,4,4,4,4,3,2.67,2.67,1.50,3.67,2.28
53,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,2,1,2,1.00,1.00,1.67,1.50,1.22
54,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,1.00,1.00,1.00,1.00,1.00
55,2,2,3,3,2,3,3,2,1,2,2,2,1,2,1,1,2,2,1,4,2,3,4,4,1,2.67,1.67,1.50,3.00,1.94
56,2,2,2,2,2,2,2,2,2,3,2,3,2,1,1,1,2,2,1,2,3,4,2,4,1,2.00,2.33,1.33,2.67,1.89
57,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,1,4,1,2,2,#NULL!,1,1.00,1.67,1.50,2.00,1.39
58,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.17,1.00,1.17,1.00,1.11
59,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,4,3,1,1,1.50,1.33,1.50,1.83,1.44
60,2,1,1,1,1,#NULL!,1,2,2,2,2,#NULL!,2,3,3,3,3,#NULL!,3,3,2,3,3,#NULL!,5,1.00,2.00,3.00,3.20,2.00
61,2,1,2,1,2,#NULL!,1,1,2,2,2,#NULL!,1,2,2,2,2,#NULL!,2,1,3,4,3,#NULL!,4,1.40,1.60,2.00,3.00,1.67
62,2,1,1,1,2,1,1,3,3,2,3,2,3,1,1,1,2,1,1,2,2,2,4,4,4,1.17,2.67,1.17,3.00,1.67
63,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,4,3,4,3,3,2.67,3.00,2.50,3.33,2.72
